"design","metric","n_folds","mean","sd","lower","upper"
"Naive row-level","balanced_accuracy",10,0.5,0,0.5,0.5
"Participant-stimulus blocks","balanced_accuracy",9,0.5,0,0.5,0.5
"Participant grouped","balanced_accuracy",10,0.5,0,0.5,0.5
"Naive row-level","brier",10,0.126027555624558,0.0223268051462117,0.0985240988863733,0.164005326684376
"Participant-stimulus blocks","brier",9,0.123030081949972,0.0424375281803927,0.0579414139018229,0.180332065266772
"Participant grouped","brier",10,0.127759867959742,0.0278088422524569,0.0824238916971261,0.163370481059369
"Naive row-level","log_loss",10,0.418261639361254,0.058288016092662,0.346823253488164,0.525924879206154
"Participant-stimulus blocks","log_loss",9,0.414570993979455,0.109439637117657,0.245647932828647,0.546306586642956
"Participant grouped","log_loss",10,0.423478926760185,0.0691665921986518,0.315112682154569,0.516673866634135
"Naive row-level","roc_auc",10,0.603275998648939,0.0754700293690616,0.492567483388704,0.697687422569207
"Participant-stimulus blocks","roc_auc",9,0.617824900302805,0.0621318579088214,0.506630769230769,0.688288288288288
"Participant grouped","roc_auc",10,0.592891401314481,0.0654665055874911,0.486577461607949,0.689049873613669
