"Function","Exported"
"simulate_gazepoint_governed_data",TRUE
"create_gazepoint_synthetic_task",TRUE
"create_gazepoint_synthetic_manifest",TRUE
"declare_gazepoint_analysis_plan",TRUE
"validate_gazepoint_analysis_plan",TRUE
"lock_gazepoint_analysis_plan",TRUE
"create_gazepoint_group_folds",TRUE
"audit_gazepoint_group_folds",TRUE
"diagnose_gazepoint_group_folds",TRUE
"evaluate_gazepoint_group_folds",TRUE
"collect_gazepoint_fold_predictions",TRUE
"summarize_gazepoint_resample_performance",TRUE
"assess_gazepoint_calibration",TRUE
"fit_gazepoint_conformal",TRUE
"predict_gazepoint_set",TRUE
"assess_gazepoint_conformal_coverage",TRUE
"evaluate_gazepoint_thresholds",TRUE
"select_gazepoint_threshold",TRUE
"validate_gazepoint_decision_rule",TRUE
"apply_gazepoint_decision_rule",TRUE
"audit_gazepoint_abstention",TRUE
"audit_gazepoint_dataset_shift",TRUE
"audit_gazepoint_missingness_shift",TRUE
"summarize_gazepoint_shift",TRUE
"evaluate_gazepoint_seed_stability",TRUE
"evaluate_gazepoint_threshold_stability",TRUE
"audit_gazepoint_model_robustness",TRUE
"audit_gazepoint_plan_deviations",TRUE
"capture_gazepoint_environment",TRUE
"compare_gazepoint_environments",TRUE
"create_gazepoint_model_artifact",TRUE
"validate_gazepoint_model_artifact",TRUE
"gp3ml_api_contracts",TRUE
"audit_gp3ml_api_stability",TRUE
