"design","metric","n_folds","mean","sd","lower","upper"
"Naive row-level","accuracy",10,0.847916666666667,0.0347915973607649,0.794010416666667,0.893489583333333
"Participant-stimulus blocks","accuracy",9,0.850925925925926,0.0618640484758891,0.763333333333333,0.945
"Participant grouped","accuracy",10,0.847916666666667,0.0468942861559282,0.791666666666667,0.928125
"Naive row-level","balanced_accuracy",10,0.5,0,0.5,0.5
"Participant-stimulus blocks","balanced_accuracy",9,0.5,0,0.5,0.5
"Participant grouped","balanced_accuracy",10,0.5,0,0.5,0.5
"Naive row-level","brier",10,0.126027555624558,0.0223268051462117,0.0985240988863733,0.164005326684376
"Participant-stimulus blocks","brier",9,0.123030081949972,0.0424375281803927,0.0579414139018229,0.180332065266772
"Participant grouped","brier",10,0.127759867959742,0.0278088422524569,0.0824238916971261,0.163370481059369
"Participant grouped","calibration_intercept_abs",10,1.02018258072496,1.02085225760472,0.0612691970302695,3.04662724900411
"Participant grouped","calibration_slope_abs_error",10,0.485229814901838,0.412208704547139,0.0787320952971249,1.32256051766752
"Participant grouped","ece",10,0.0611524789177031,0.024672645904462,0.0334414098276857,0.107957035565355
"Naive row-level","f1",0,,,,
"Participant-stimulus blocks","f1",0,,,,
"Participant grouped","f1",0,,,,
"Naive row-level","log_loss",10,0.418261639361254,0.058288016092662,0.346823253488164,0.525924879206154
"Participant-stimulus blocks","log_loss",9,0.414570993979455,0.109439637117657,0.245647932828647,0.546306586642956
"Participant grouped","log_loss",10,0.423478926760185,0.0691665921986518,0.315112682154569,0.516673866634135
"Participant-stimulus blocks","mcc",0,,,,
"Participant grouped","mcc",0,,,,
"Participant-stimulus blocks","pr_auc",9,0.346855501068838,0.11645016491727,0.154489701127241,0.512255639097744
"Participant grouped","pr_auc",10,0.271793944375597,0.118107066423107,0.0934251689831149,0.439853118194871
"Naive row-level","precision",0,,,,
"Participant-stimulus blocks","precision",0,,,,
"Participant grouped","precision",0,,,,
"Naive row-level","recall",10,0,0,0,0
"Participant-stimulus blocks","recall",9,0,0,0,0
"Participant grouped","recall",10,0,0,0,0
"Naive row-level","roc_auc",10,0.603275998648939,0.0754700293690616,0.492567483388704,0.697687422569207
"Participant-stimulus blocks","roc_auc",9,0.617824900302805,0.0621318579088214,0.506630769230769,0.688288288288288
"Participant grouped","roc_auc",10,0.592891401314481,0.0654665055874911,0.486577461607949,0.689049873613669
"Naive row-level","sensitivity",10,0,0,0,0
"Participant-stimulus blocks","sensitivity",9,0,0,0,0
"Participant grouped","sensitivity",10,0,0,0,0
"Naive row-level","specificity",10,1,0,1,1
"Participant-stimulus blocks","specificity",9,1,0,1,1
"Participant grouped","specificity",10,1,0,1,1
